symbol,side,entry_price,exit_price,entry_timestamp,exit_timestamp,status,pnl_usd,pnl_pct,reason_for_entry,reason_for_exit,balance
TONUSDT,short,3.596604,3.521208,1970-01-01 00:29:14.273700,1970-01-01 00:29:14.279100,win,209.63108532382137,2.0963108532382217,ML Signal (Pred: 0.51),TP Hit,10209.631085323821
XRPUSDT,long,3.012864,2.9832,1970-01-01 00:29:14.278200,1970-01-01 00:29:14.283600,loss,-204.19262170647642,-0.9845781289829183,ML Signal (Pred: 0.64),SL Hit,10005.438463617345
XLMUSDT,long,0.4142182,0.4081,1970-01-01 00:29:14.279100,1970-01-01 00:29:14.284500,loss,-200.1087692723469,-1.4770476043785528,ML Signal (Pred: 0.96),SL Hit,9805.329694344999
SOLUSDT,long,164.07847999999998,162.62,1970-01-01 00:29:14.280900,1970-01-01 00:29:14.281800,loss,-196.1065938869,-0.8888917059689854,ML Signal (Pred: 0.46),SL Hit,9609.223100458099
LTCUSDT,long,111.42868,110.65,1970-01-01 00:29:14.284500,1970-01-01 00:29:14.285400,loss,-192.184462009162,-0.6988147037190016,ML Signal (Pred: 0.67),SL Hit,9417.038638448937
AAVEUSDT,long,263.36794,261.31,1970-01-01 00:29:14.286300,1970-01-01 00:29:14.286300,loss,-188.34077276897875,-0.7813935135764717,ML Signal (Pred: 0.72),SL Hit,9228.697865679958
